n,model,dataset,R2,RMSE,MAE
50,TabPFN,microbiome,-0.03348168953395114,5.498049921186091,4.05989224289356
100,TabPFN,microbiome,0.014279830551152783,5.369503219110798,3.8350780031171756
500,TabPFN,microbiome,0.0803327735086895,5.186479201254279,3.6302125505807235
1000,TabPFN,microbiome,0.12795451108795142,5.050412549599389,3.6141318643967475
2000,TabPFN,microbiome,0.1714630603794579,4.922811692978475,3.516968196692138
5000,TabPFN,microbiome,0.2221008164828221,4.770006198528837,3.4498201961784973
7420,TabPFN,microbiome,0.22780290930317726,4.752491689452996,3.4276744300493314
